                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5758,                 1.3119,                 1.2622,                0.84398,                0.77417,                0.85382,                0.47316,                 1.4206,                0.84758,                 1.2123,                0.07003,                0.00333,                0.00333
                      2,                 1.5035,                0.92282,                 1.1841,                 0.8716,                0.77604,                0.85348,                0.47347,                 1.4168,                0.77916,                 1.1881,               0.039964,              0.0065973,              0.0065973
                      3,                 1.5079,                0.89676,                 1.1718,                0.86599,                0.77989,                0.85743,                0.47916,                 1.4222,                0.83725,                 1.1942,              0.0098323,              0.0097987,              0.0097987
                      4,                 1.5005,                0.87307,                 1.1802,                0.88444,                0.78288,                0.86711,                 0.4836,                 1.4393,                0.76796,                 1.2165,               0.009703,               0.009703,               0.009703
                      5,                 1.4843,                 0.8311,                 1.1736,                0.89217,                0.81909,                0.88974,                0.50855,                 1.3812,                0.69275,                 1.1835,               0.009703,               0.009703,               0.009703
                      6,                 1.4655,                0.79132,                 1.1667,                0.89696,                 0.8201,                0.89427,                0.51124,                 1.3838,                0.67761,                 1.1825,               0.009604,               0.009604,               0.009604
                      7,                 1.4578,                 0.7688,                 1.1573,                 0.8933,                0.83258,                0.90579,                0.52357,                 1.3729,                0.65552,                 1.1753,               0.009505,               0.009505,               0.009505
                      8,                 1.4365,                0.75701,                 1.1614,                0.90827,                 0.8379,                0.90858,                0.52122,                 1.3599,                0.64512,                 1.1753,               0.009406,               0.009406,               0.009406
                      9,                 1.4303,                0.74215,                 1.1527,                 0.9062,                0.84577,                0.91315,                0.53051,                 1.3524,                0.62775,                 1.1656,               0.009307,               0.009307,               0.009307
                     10,                 1.4244,                0.73346,                 1.1547,                0.90161,                0.84866,                0.91293,                0.52955,                 1.3515,                  0.632,                 1.1778,               0.009208,               0.009208,               0.009208
                     11,                 1.4008,                0.72133,                  1.155,                0.90265,                0.85654,                0.91797,                0.53853,                 1.3379,                0.60983,                 1.1758,               0.009109,               0.009109,               0.009109
                     12,                 1.4031,                 0.7108,                 1.1416,                0.90532,                0.85758,                0.91879,                0.53718,                 1.3406,                0.60912,                 1.1618,                0.00901,                0.00901,                0.00901
                     13,                 1.4005,                0.70534,                 1.1512,                0.90824,                0.85967,                0.91776,                 0.5382,                 1.3353,                0.59301,                 1.1651,               0.008911,               0.008911,               0.008911
                     14,                 1.3939,                 0.6942,                 1.1387,                0.91387,                0.86223,                0.92459,                0.54687,                 1.3249,                0.58684,                  1.149,               0.008812,               0.008812,               0.008812
                     15,                 1.3951,                0.69594,                 1.1387,                  0.911,                0.86303,                0.92638,                0.55119,                 1.3151,                 0.5806,                 1.1562,               0.008713,               0.008713,               0.008713
                     16,                  1.379,                0.68331,                   1.14,                0.91342,                0.86497,                0.92566,                0.54938,                 1.3146,                0.57377,                 1.1488,               0.008614,               0.008614,               0.008614
                     17,                 1.3818,                  0.681,                 1.1326,                0.91429,                0.86985,                 0.9287,                0.55229,                 1.3122,                0.57174,                 1.1563,               0.008515,               0.008515,               0.008515
                     18,                 1.3811,                0.67389,                 1.1301,                0.91399,                0.87101,                0.93013,                0.55556,                  1.312,                0.56921,                 1.1469,               0.008416,               0.008416,               0.008416
                     19,                  1.381,                0.67262,                  1.129,                0.91534,                0.87342,                0.93124,                 0.5571,                 1.3069,                 0.5595,                 1.1471,               0.008317,               0.008317,               0.008317
                     20,                 1.3741,                0.66826,                 1.1279,                0.92104,                0.87144,                0.93365,                0.56055,                 1.2994,                0.55603,                  1.142,               0.008218,               0.008218,               0.008218
                     21,                 1.3776,                0.66407,                 1.1276,                 0.9152,                0.87424,                0.93212,                0.55721,                 1.3016,                  0.557,                 1.1504,               0.008119,               0.008119,               0.008119
                     22,                 1.3678,                0.66301,                 1.1289,                 0.9178,                0.87787,                0.93516,                0.56213,                 1.2972,                0.55019,                  1.137,                0.00802,                0.00802,                0.00802
                     23,                 1.3605,                 0.6549,                 1.1286,                 0.9205,                0.88136,                 0.9364,                0.56375,                 1.2962,                0.54362,                 1.1465,               0.007921,               0.007921,               0.007921
                     24,                 1.3644,                0.65725,                 1.1271,                0.91955,                0.88092,                0.93667,                0.56591,                 1.2908,                0.54145,                  1.134,               0.007822,               0.007822,               0.007822
