content,time,name,QQ
@21-tongji-Frings @21-tongji-Frings 本科生在果壳里真是爹吧,2024-06-18 00:00:04, YhuoyuH,1398852396
感觉条件还是挺不错,2024-06-18 00:00:10, 21-湖b-耐拒王蜀鼠,923557344
真是吧,2024-06-18 00:00:27, 21-tongji-Frings,736455252
@YhuoyuH @YhuoyuH 真不是（,2024-06-18 00:00:29, 21-ucas-tlx,1204096774
我们辅导员给我们还转了动物所的招生宣传,2024-06-18 00:00:37, 21-uestc-安娜苏,2723980493
有点幽默,2024-06-18 00:00:41, 21-uestc-安娜苏,2723980493
动物所好吗,2024-06-18 00:00:47, 20-ihtwu-yukki,2045314354
什么水平,2024-06-18 00:01:02, 20-ihtwu-yukki,2045314354
动物所是什么东西,2024-06-18 00:01:03, 21-whut-xm,2738687784
AI+动物方向（,2024-06-18 00:01:04, 21-BIT-hzl,2453630365
智慧动物,2024-06-18 00:01:14, 21-whut-xm,2738687784
就是在那个专业里说的话,2024-06-18 00:01:18, 20-ihtwu-yukki,2045314354
感觉不如智慧土木,2024-06-18 00:01:22, 21-whut-xm,2738687784
我也事智慧生物,2024-06-18 00:01:29, 21-末2-1非4无-夏0营,1286720644
bupt和uestc哪个高考录取分高啊,2024-06-18 00:02:48, 21--security,2928394393
@21--security<$j><$j> @21--security<$j><$j> bupt,2024-06-18 00:02:57, 20-uestc-pkurw-whiteflames,2252334095
uestc啊,2024-06-18 00:03:02, 21-uestc-安娜苏,2723980493
因为我没上成,2024-06-18 00:03:04, 20-uestc-pkurw-whiteflames,2252334095
不是看省份吗,2024-06-18 00:03:08, 20-ihtwu-yukki,2045314354
tongji上海无人中心那个报名表填意向导师是不是要提前联系下捏,2024-06-18 00:03:11, 21-gpu-夏0营0ffer选手,3640519889
@21-gpu-夏0营0ffer选手 @21-gpu-夏0营0ffer选手 ？GPU你这也不放过,2024-06-18 00:03:22, 20-uestc-pkurw-whiteflames,2252334095
@21-gpu-夏0营0ffer选手 @21-gpu-夏0营0ffer选手 你又不去,2024-06-18 00:03:22, 20-ihtwu-yukki,2045314354
问一下清深的系统里提交后还可以改信息吗？,2024-06-18 00:03:23, 21-whut-hhh,2307367273
别联系了,2024-06-18 00:03:26, 20-ihtwu-yukki,2045314354
好,2024-06-18 00:03:28, 21--security,2928394393
,2024-06-18 00:03:28, 20-ihtwu-yukki,2045314354
给点机会给群u吧,2024-06-18 00:03:35, 20-uestc-pkurw-whiteflames,2252334095
@21-gpu-夏0营0ffer选手 @21-gpu-夏0营0ffer选手 这你也不放过啊,2024-06-18 00:03:35, 21-tongji-Frings,736455252
@20-uestc-pkurw-whiteflames @20-uestc-pkurw-whiteflames ？梦校tongji,2024-06-18 00:03:44, 21-gpu-夏0营0ffer选手,3640519889
别让群u真夏0营了,2024-06-18 00:03:52, 20-uestc-pkurw-whiteflames,2252334095
@21-gpu-夏0营0ffer选手 @21-gpu-夏0营0ffer选手 6,2024-06-18 00:03:58, 20-nuaa/cuhk-水硕加我,1724019530
再骂紫砂,2024-06-18 00:03:59, 21-uestc-安娜苏,2723980493
不是，gpu是不是平常干活效率太高了,2024-06-18 00:04:02, 21-二非-零offer,1132484353
起码有点参与感吧,2024-06-18 00:04:03, 20-uestc-pkurw-whiteflames,2252334095
忙了这么久,2024-06-18 00:04:06, 20-uestc-pkurw-whiteflames,2252334095
顾这么多,2024-06-18 00:04:08, 21-二非-零offer,1132484353
gpu给我留点,2024-06-18 00:04:10, 21-NKU,2217558166
@21-二非-零offer @21-二非-零offer ？,2024-06-18 00:04:15, 21-gpu-夏0营0ffer选手,3640519889
@21-whut-hhh 蹲蹲,2024-06-18 00:04:17, 21-whut-hhh,2307367273
我是,2024-06-18 00:04:20, 21-gpu-夏0营0ffer选手,3640519889
计算机保研二八定律： 80% 的 offer 在 20% 的人手里,2024-06-18 00:04:32, 21-XDU-我有玉玉症,2287851528
夏0营了就要跟gpu佬拼命了,2024-06-18 00:04:33, 21-tongji-Frings,736455252
计算机保研二八定律： 80% 的 夏令营名额 在 20% 的人手里,2024-06-18 00:04:45, 21-XDU-我有玉玉症,2287851528
gpu报了多少个,2024-06-18 00:04:49, 21-bupt-curry,1945303105
真的全被gpu套完了,2024-06-18 00:04:49, 21-湖b-耐拒王蜀鼠,923557344
到底,2024-06-18 00:04:50, 21-bupt-curry,1945303105
为啥陶瓷跨度这么大,2024-06-18 00:04:56, 21-bupt-curry,1945303105
@21-whut-hhh 可以给招生老师打电话问问,2024-06-18 00:04:59, 21-fwu-计算机睡觉,2040432779
太夸张了,2024-06-18 00:05:02, 21-bupt-curry,1945303105
offer数量服从幂律,2024-06-18 00:05:04, 21-BIT-hzl,2453630365
分布,2024-06-18 00:05:08, 21-BIT-hzl,2453630365
有一个要我都不错了,2024-06-18 00:05:11, 21-末二-hiver,1935506049
@21-bupt-curry @21-bupt-curry 12,2024-06-18 00:05:15, 21-gpu-夏0营0ffer选手,3640519889
神,2024-06-18 00:05:21, 21-末二-hiver,1935506049
计算机保研九一定律：99.9%的夏令营名额在0.1%的人手里,2024-06-18 00:05:25, 21-lzu-爆爆爆爆爆爆爆,2603899756
算上香港那些,2024-06-18 00:05:26, 21-gpu-夏0营0ffer选手,3640519889
gpu佬真是精力旺盛,2024-06-18 00:05:42, 21-末二-hiver,1935506049
中科大计科不陶瓷能入吗？,2024-06-18 00:05:45, 21-xjtu-轩辕之风,916304527
可以,2024-06-18 00:05:51, 21-whut-hhh,2307367273
嘉仁们，南开计科和西工大计科怎么选？夏令营时间重合了,2024-06-18 00:06:00, 21-xdu-江将,2368756804
[表情][表情],2024-06-18 00:06:01, 21-xjtu-轩辕之风,916304527
C9随便入,2024-06-18 00:06:03, 21-whut-hhh,2307367273
请问发邮件老师一天未读是再等一天比较好还是重发一次比较好呢[表情],2024-06-18 00:06:07, 21 ucas cjr,2368994791
感觉陶瓷还是挺累的,2024-06-18 00:06:13, 21-bupt-curry,1945303105
填系统真累啊,2024-06-18 00:06:24, 21-uestc-安娜苏,2723980493
都累[表情][表情],2024-06-18 00:06:30, 21-whut-hhh,2307367273
我是搞了几个就想摆了,2024-06-18 00:06:33, 21-bupt-curry,1945303105
@21-bupt-curry @21-bupt-curry 搞几个都给offer了是吧，气煞我也,2024-06-18 00:06:58, 21-西安职业学院-Ä,1657005350
？,2024-06-18 00:07:02, 21-bupt-curry,1945303105
我说报学校系统,2024-06-18 00:07:06, 21-bupt-curry,1945303105
补充，计算机保研二八定律： 80% 的 夏令营名额 在 20% 的人手里，并且服从幂律分布,2024-06-18 00:07:06, 21-XDU-我有玉玉症,2287851528
[狗狗笑哭]请使用最新版手机QQ体验新功能,2024-06-18 00:07:15, 21-XDU-我有玉玉症,2287851528
@21-bupt-curry 搞几个都给offer了是吧，气煞我也,2024-06-18 00:07:16, 21-tongji-Frings,736455252
@21-bupt-curry @21-bupt-curry 不是套磁吗,2024-06-18 00:07:22, 21-西安职业学院-Ä,1657005350
都累,2024-06-18 00:07:37, 21-西安职业学院-Ä,1657005350
套磁也累，系统也累,2024-06-18 00:07:43, 21-西安职业学院-Ä,1657005350
